;bm_st;hy_rs;wi_on;wi_off;so_ro;nu;li_st;hc_cc;ng_cc;hc_st;ng_ce;ng_gt;ng_st;so_op;hy_rr
0;4569;1206;381;3969;0;8145;11609;3443;5649;0;0;0;0;0;0
1;4552;1197;393;3615;0;8151;11603;3045;5410;0;0;0;0;0;0
2;4549;1165;305;3270;0;8157;11758;3068;5313;0;0;0;0;0;0
3;4540;1180;318;2828;0;8154;12338;2853;5127;0;0;0;0;0;0
4;4535;1155;292;2537;0;8151;12396;2714;4994;0;0;0;0;0;0
5;4527;1146;428;2182;0;8150;12700;2737;5057;0;0;0;0;0;0
6;4520;1160;502;2039;0;8156;13052;2837;5094;0;0;0;0;0;0
7;4521;1159;381;2004;0;8153;12473;2953;5170;0;0;0;0;0;0
8;4550;1152;355;2135;195;8157;12437;3088;5570;0;0;0;0;0;0
9;4542;1164;246;2184;1364;8161;12171;3086;6053;0;0;0;0;0;0
10;4565;1159;444;1975;2988;8162;11609;3058;6516;0;0;0;0;0;0
11;4579;1161;557;1690;4238;8162;11259;3045;7145;0;0;0;0;0;0
12;4573;1170;669;1380;4828;8153;10870;3187;7446;0;0;0;0;0;0
13;4582;1172;836;1222;4235;8154;10876;3151;7412;0;0;0;0;0;0
14;4594;1166;801;1296;2726;8155;10843;3089;7587;0;0;0;0;0;0
15;4611;1168;667;1626;945;8157;10856;3449;7936;0;0;0;0;0;0
16;4611;1194;832;2224;44;8157;10875;3698;8348;0;0;0;0;0;0
17;4620;1209;753;3038;0;8152;11002;4094;8390;0;0;0;0;0;0
18;4625;1205;700;3699;0;8152;11001;4046;8465;0;0;0;0;0;0
19;4636;1182;777;4065;0;8155;11002;4092;8479;0;0;0;0;0;0
20;4630;1197;723;4303;0;8153;11020;3866;8412;0;0;0;0;0;0
21;4622;1225;632;4570;0;8149;10901;3542;8410;0;0;0;0;0;0
22;4617;1229;822;4854;0;8142;10798;3422;8103;0;0;0;0;0;0
23;4607;1224;573;4757;0;8143;10892;3033;7248;0;0;0;0;0;0
24;4593;1193;401;4644;0;8093;11346;2871;6060;0;0;0;0;0;0
25;4557;1161;411;4491;0;8121;11564;2723;5651;0;0;0;0;0;0
26;4571;1173;546;4241;0;8101;11392;2552;5423;0;0;0;0;0;0
27;4567;1185;395;4230;0;8095;11187;2563;5425;0;0;0;0;0;0
28;4538;1167;305;4131;0;8132;11521;2614;5514;0;0;0;0;0;0
29;4503;1115;367;3731;0;8141;11975;2628;5643;0;0;0;0;0;0
30;4498;1152;483;3456;0;8131;12145;2926;5885;0;0;0;0;0;0
31;4488;1153;606;3085;0;8126;12330;3392;6345;0;0;0;0;0;0
32;4501;1185;442;2772;155;8053;12776;3504;7382;0;0;0;0;0;0
33;4520;1201;341;2353;983;8142;13051;3703;8280;0;0;0;0;0;0
34;4558;1158;280;1799;2202;8153;13163;4051;8540;0;0;0;0;0;0
35;4543;1163;264;1361;3310;8154;13179;4260;8593;0;0;0;0;0;0
36;4549;1152;281;1038;3727;8156;13171;4217;8524;0;0;0;0;0;0
37;4563;1140;246;925;3072;8156;13154;4244;8543;0;0;0;0;0;0
38;4592;1140;207;1109;1787;8156;13138;4315;8448;0;0;0;0;0;0
39;4589;1123;368;1368;591;8155;13179;4206;8425;0;0;0;0;0;0
40;4590;1120;494;1728;23;8153;13326;4325;8485;0;0;0;0;0;0
41;4580;1132;730;2117;0;8156;13332;4534;8548;0;0;0;0;0;0
42;4588;1122;1100;2707;0;8151;13339;4618;8539;0;0;0;0;0;0
