,el_ss,el_sl,ng_cc,ng_ce,ng_gt,ng_st,mo_cc,mo_gt,mo_st,of_ce,of_gt,of_st,hy_rs,bm_st,hy_rr,or_st,so_ro,so_op,wi_off,wi_on
0,210.6103329999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.754230000000017,0.0,1441.859377656268,278.0195,0.0,0.0,0.0,53521.84249722005
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.11108692876951,0.0,0.0,0.0,0.0,51747.295717055626
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49424.278278704616
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49555.354329154616
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48581.11586499918
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49474.29522380336
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009279490984357076,0.00027211399219671274,0.0,49663.920333573915
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,465.16937531783896,140.86039361694483,0.0,48888.75217676215
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2670.4500095761905,840.1988331789148,0.0,50559.09814220423
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4809.203314612736,1358.7090950959873,0.0,48204.013734220636
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10482.272222709396,2810.228042503595,0.0,52334.20159238901
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12165.561636744516,3228.3598282968105,0.0,51406.50767428777
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.57937000000006,0.0,1496.8947924740164,278.0195,11234.436726083342,2970.2657314680105,476.74139590478813,45703.33621296017
13,121.31833909999922,8927.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.435780000000065,1777.8670624852425,1476.9274703718286,278.0195,7813.7769440314005,2048.0611601431947,3101.1254962287258,36252.71613498943
14,210.6103329999998,9452.2,1736.9879587254484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.361480000000007,7499.0033044436295,1493.856151820565,278.0195,3219.0025541827763,779.3977460001994,2548.143398792522,33860.79409898688
15,210.6103329999998,9452.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.28952999999997,5156.968860161707,1465.503753077574,278.0195,175.22416615310996,29.25997470364335,3112.2712310787524,41794.97547179118
16,16.032108400000777,5604.231295898049,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.207739999999962,2818.8131862477053,1463.3860974371769,278.0195,0.0,0.0,3135.137806105495,52358.100522354434
17,10.076785600000164,5279.950691958127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.952600000000018,1411.421,1391.1626324930796,278.0195,0.0,0.0,3000.9460415056187,59850.75870675988
18,0.0,1237.9584971438287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.801460000000027,1411.421,1376.9918151826946,278.0195,0.0,0.0,3266.7057773179995,64508.95933776981
19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.566069999999982,0.0,1362.0645160333768,278.0195,0.0,0.0,808.5490568823842,67230.14504905895
20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69127.5881802909
21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70675.9218616231
22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70029.14585632403
23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69194.90153817978
