Name;Hour;Iron & steel;Non-metallic minerals;Transport equipment;Machinery;Mining & quarrying;Food, beverages & tobacco;Paper, pulp & printing;Wood & wood products;Construction;Textile & leather;Not elsewhere specified (industry);Chemical & petrochemical;Agriculture & forestry;Fishing
;1;0.000112611;8.18E-05;5.68E-05;5.68E-05;2.31E-05;6.46E-05;0.000112611;5.48E-05;5.48E-05;5.48E-05;5.48E-05;0.000114155;6.62E-05;6.62E-05
;2;0.000112611;8.16E-05;5.61E-05;5.61E-05;2.29E-05;6.62E-05;0.000112611;5.36E-05;5.36E-05;5.36E-05;5.36E-05;0.000114155;6.06E-05;6.06E-05
;3;0.000114186;7.97E-05;5.58E-05;5.58E-05;2.22E-05;6.49E-05;0.000114186;5.31E-05;5.31E-05;5.31E-05;5.31E-05;0.000114155;5.72E-05;5.72E-05
;4;0.000116549;7.83E-05;5.55E-05;5.55E-05;2.21E-05;6.45E-05;0.000116549;5.36E-05;5.36E-05;5.36E-05;5.36E-05;0.000114155;5.50E-05;5.50E-05
;5;0.000115761;7.82E-05;5.60E-05;5.60E-05;2.16E-05;6.57E-05;0.000115761;5.27E-05;5.27E-05;5.27E-05;5.27E-05;0.000114155;5.42E-05;5.42E-05
;6;0.000111036;7.88E-05;5.72E-05;5.72E-05;2.09E-05;6.59E-05;0.000111036;5.25E-05;5.25E-05;5.25E-05;5.25E-05;0.000114155;5.85E-05;5.85E-05
;7;0.000111824;7.77E-05;5.80E-05;5.80E-05;2.06E-05;6.69E-05;0.000111824;5.26E-05;5.26E-05;5.26E-05;5.26E-05;0.000114155;7.81E-05;7.81E-05
;8;0.000114974;7.56E-05;5.80E-05;5.80E-05;2.06E-05;6.69E-05;0.000114974;5.27E-05;5.27E-05;5.27E-05;5.27E-05;0.000114155;0.000131776;0.000131776
;9;0.000113399;7.32E-05;5.78E-05;5.78E-05;2.20E-05;6.80E-05;0.000113399;5.19E-05;5.19E-05;5.19E-05;5.19E-05;0.000114155;0.00019135;0.00019135
;10;0.000116549;7.13E-05;5.77E-05;5.77E-05;2.14E-05;6.98E-05;0.000116549;5.19E-05;5.19E-05;5.19E-05;5.19E-05;0.000114155;0.000187836;0.000187836
;11;0.000114974;6.96E-05;5.75E-05;5.75E-05;2.14E-05;7.06E-05;0.000114974;5.00E-05;5.00E-05;5.00E-05;5.00E-05;0.000114155;0.000152046;0.000152046
;12;0.000113399;6.94E-05;5.66E-05;5.66E-05;2.10E-05;7.10E-05;0.000113399;5.03E-05;5.03E-05;5.03E-05;5.03E-05;0.000114155;0.000152379;0.000152379
;13;0.000118124;6.86E-05;5.54E-05;5.54E-05;2.04E-05;7.16E-05;0.000118124;4.97E-05;4.97E-05;4.97E-05;4.97E-05;0.000114155;0.000135492;0.000135492
;14;0.000113399;6.86E-05;5.46E-05;5.46E-05;2.01E-05;7.23E-05;0.000113399;4.97E-05;4.97E-05;4.97E-05;4.97E-05;0.000114155;0.000108956;0.000108956
;15;0.000114974;6.85E-05;5.43E-05;5.43E-05;2.01E-05;7.26E-05;0.000114974;4.92E-05;4.92E-05;4.92E-05;4.92E-05;0.000114155;0.000100293;0.000100293
;16;0.000111824;6.88E-05;5.41E-05;5.41E-05;2.07E-05;7.33E-05;0.000111824;4.97E-05;4.97E-05;4.97E-05;4.97E-05;0.000114155;9.67E-05;9.67E-05
;17;0.000111036;7.03E-05;5.41E-05;5.41E-05;2.10E-05;7.27E-05;0.000111036;4.98E-05;4.98E-05;4.98E-05;4.98E-05;0.000114155;9.90E-05;9.90E-05
;18;0.000117336;7.18E-05;5.50E-05;5.50E-05;1.99E-05;7.39E-05;0.000117336;5.04E-05;5.04E-05;5.04E-05;5.04E-05;0.000114155;0.000123708;0.000123708
;19;0.000114974;7.29E-05;5.73E-05;5.73E-05;2.08E-05;7.72E-05;0.000114974;5.17E-05;5.17E-05;5.17E-05;5.17E-05;0.000114155;0.000177581;0.000177581
;20;0.000110249;7.30E-05;6.07E-05;6.07E-05;2.12E-05;7.89E-05;0.000110249;5.37E-05;5.37E-05;5.37E-05;5.37E-05;0.000114155;0.000201195;0.000201195
;21;0.000111036;7.26E-05;6.66E-05;6.66E-05;2.20E-05;8.18E-05;0.000111036;5.91E-05;5.91E-05;5.91E-05;5.91E-05;0.000114155;0.000160618;0.000160618
;22;0.000111036;7.39E-05;7.68E-05;7.68E-05;2.23E-05;8.61E-05;0.000111036;7.48E-05;7.48E-05;7.48E-05;7.48E-05;0.000114155;0.000117593;0.000117593
;23;0.000111824;7.63E-05;8.32E-05;8.32E-05;2.35E-05;8.65E-05;0.000111824;7.98E-05;7.98E-05;7.98E-05;7.98E-05;0.000114155;9.60E-05;9.60E-05
;24;0.000117336;7.89E-05;8.58E-05;8.58E-05;2.40E-05;8.70E-05;0.000117336;8.15E-05;8.15E-05;8.15E-05;8.15E-05;0.000114155;7.74E-05;7.74E-05
;25;0.000111824;8.22E-05;9.25E-05;9.25E-05;2.89E-05;9.11E-05;0.000111824;9.86E-05;9.86E-05;9.86E-05;9.86E-05;0.000114155;6.62E-05;6.62E-05
;26;0.000117336;8.30E-05;9.29E-05;9.29E-05;2.97E-05;9.39E-05;0.000117336;9.80E-05;9.80E-05;9.80E-05;9.80E-05;0.000114155;6.06E-05;6.06E-05
